t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0
300.0,0.0001,0.0003,0.0002,0.0003,0.0837,0.0,0.0,0.0,0.0,0.415
600.1,0.0039,0.0024,0.0002,0.0032,0.1109,0.0,0.0,0.0,0.0,0.415
900.1,0.0049,0.0037,0.0002,0.0109,0.1349,0.0,0.0,0.0,0.067,0.415
1200.0,0.0075,0.0068,0.0003,0.0625,0.1473,0.0,0.0,0.0,0.086,0.415
1500.1,0.0099,0.0207,0.0025,0.0789,0.1802,0.0,0.436,0.0,0.538,1.281
1800.1,0.0195,0.0001,0.0043,0.0947,0.2807,1.092,0.889,0.0,1.224,1.53
2100.1,0.0161,0.0626,0.0043,0.1501,0.5036,1.963,1.158,0.882,1.52,2.255
2400.0,0.0266,0.0862,0.0028,0.1135,0.4243,2.041,1.158,1.869,2.135,2.516
2700.0,0.046,0.0533,0.0021,0.0608,0.2379,2.462,1.158,1.869,2.135,2.516
3000.0,0.0154,0.0495,0.0015,0.0642,0.3086,2.462,1.57,1.869,2.135,2.535
3300.0,0.0095,0.052,0.0014,0.0857,0.1995,2.462,1.57,1.869,2.135,2.535
3600.0,0.0071,0.0533,0.0012,0.1089,0.2234,2.462,1.57,1.869,2.135,2.535
3900.0,0.0033,0.0336,0.0002,0.0716,0.245,2.462,1.57,1.869,2.135,2.686
4200.0,0.0018,0.0247,0.0,0.0624,0.1961,2.462,1.57,1.869,2.135,2.686
4500.0,0.0012,0.0281,0.0,0.0724,0.1851,2.462,1.57,1.869,2.135,2.686
4800.0,0.0008,0.0203,0.0,0.0617,0.1679,2.462,1.57,1.869,2.135,2.686
5100.0,0.0006,0.0186,0.0,0.0604,0.1569,2.462,1.57,1.869,2.135,2.686
