t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
300.1,0.0001,0.0,0.0001,0.0001,0.0113,0.0,0.0,0.0,0.0,0.034
600.1,0.0001,0.0001,0.0001,0.0002,0.0729,0.0,0.0,0.0,0.0,0.403
900.0,0.0011,0.0002,0.0001,0.0003,0.1054,0.0,0.0,0.0,0.0,0.403
1200.1,0.003,0.001,0.0002,0.0041,0.1093,0.0,0.0,0.0,0.0,0.403
1500.0,0.0051,0.004,0.0003,0.0128,0.1374,0.0,0.0,0.0,0.064,0.403
1800.0,0.01,0.0093,0.0035,0.0767,0.1957,0.0,0.0,0.0,0.578,1.1
2100.0,0.0106,0.0056,0.0035,0.0581,0.2559,0.515,1.053,0.0,0.79,1.587
2400.0,0.0073,0.027,0.0022,0.0748,0.2764,0.516,1.053,0.0,0.821,1.587
2700.0,0.0053,0.0084,0.0017,0.0544,0.2079,0.516,1.053,0.0,0.897,1.587
3000.0,0.0038,0.0192,0.0012,0.0685,0.1909,0.516,1.053,0.0,0.897,1.587
3300.1,0.003,0.0182,0.001,0.0661,0.1678,0.516,1.053,0.0,0.897,1.685
3600.0,0.0026,0.0238,0.0009,0.0634,0.1717,0.516,1.053,0.0,0.897,1.685
3900.0,0.0017,0.0215,0.0002,0.0549,0.1524,0.516,1.053,0.0,0.897,1.685
4200.0,0.0011,0.0178,0.0,0.0589,0.1445,0.516,1.053,0.0,0.897,1.685
4500.0,0.0008,0.0146,0.0,0.0576,0.1391,0.516,1.053,0.0,0.897,1.685
4800.0,0.0006,0.0126,0.0,0.0559,0.1357,0.516,1.053,0.0,0.897,1.685
5100.0,0.0004,0.0112,0.0,0.0543,0.1333,0.516,1.053,0.0,0.897,1.685
