t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0
300.1,0.0001,0.0,0.0002,0.0003,0.0754,0.0,0.0,0.0,0.0,0.137
600.0,0.0001,0.0,0.0002,0.0043,0.1072,0.0,0.0,0.0,0.0,0.515
900.0,0.003,0.0004,0.0003,0.0121,0.1289,0.0,0.0,0.0,0.007,1.798
1200.0,0.0059,0.0033,0.0004,0.0417,0.1499,0.0,0.0,0.0,1.054,1.798
1500.0,0.0097,0.0065,0.0059,0.0729,0.1691,0.0,0.0,0.0,1.107,1.798
1800.0,0.0223,0.0297,0.011,0.0866,0.2841,0.577,0.417,0.674,1.107,1.798
2100.0,0.0247,0.0424,0.0122,0.0975,0.3141,0.597,0.563,0.794,1.107,1.798
2400.0,0.0191,0.0968,0.0077,0.0968,0.3037,0.598,0.564,0.794,1.107,1.798
2700.0,0.017,0.1034,0.0054,0.0933,0.2885,0.598,0.564,0.794,1.107,1.798
3000.0,0.0134,0.0967,0.0037,0.0896,0.2901,0.598,0.564,0.794,1.107,1.798
3300.0,0.0107,0.0886,0.0032,0.0885,0.2752,0.598,0.564,0.794,1.107,1.798
3600.0,0.0088,0.0834,0.0028,0.086,0.2624,0.598,0.564,0.794,1.107,1.798
3900.0,0.0053,0.0752,0.0005,0.0828,0.2436,0.598,0.564,0.794,1.107,1.798
4200.0,0.0029,0.0662,0.0,0.0796,0.2193,0.598,0.564,0.794,1.107,1.798
4500.0,0.0017,0.0568,0.0,0.076,0.1997,0.598,0.564,0.794,1.107,1.798
4800.0,0.0009,0.047,0.0,0.0731,0.1856,0.598,0.564,0.794,1.107,1.798
5100.0,0.0005,0.0378,0.0,0.0701,0.1742,0.598,0.564,0.794,1.107,1.798
