t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0
300.1,0.0,0.0,0.0001,0.0002,0.0084,0.0,0.0,0.0,0.0,0.0
600.0,0.0,0.0001,0.0002,0.0002,0.0707,0.0,0.0,0.0,0.0,0.101
900.0,0.0008,0.0003,0.0002,0.0004,0.1038,0.0,0.0,0.0,0.0,0.281
1200.0,0.0029,0.0014,0.0003,0.0053,0.1104,0.0,0.0,0.0,0.0,0.806
1500.0,0.0056,0.0036,0.0004,0.014,0.1434,0.0,0.0,0.0,0.007,1.837
1800.0,0.0125,0.0089,0.0069,0.0706,0.1722,0.484,0.0,0.0,1.319,1.837
2100.0,0.0144,0.0115,0.0069,0.0787,0.2482,0.52,0.296,0.0,1.319,1.837
2400.0,0.0094,0.0259,0.0041,0.083,0.2449,0.521,0.391,0.0,1.319,1.837
2700.0,0.0065,0.028,0.0026,0.0812,0.2258,0.521,0.404,0.0,1.319,1.837
3000.0,0.0047,0.0332,0.0017,0.0787,0.2106,0.521,0.404,0.0,1.319,1.837
3300.0,0.0035,0.0443,0.0014,0.0761,0.1976,0.521,0.404,0.0,1.319,1.837
3600.0,0.0028,0.0436,0.0015,0.0741,0.1881,0.521,0.404,0.0,1.319,1.837
3900.0,0.0019,0.0381,0.0004,0.0711,0.1773,0.521,0.404,0.0,1.319,1.837
4200.0,0.0012,0.0317,0.0,0.0679,0.1675,0.521,0.404,0.0,1.319,1.837
4500.0,0.0008,0.0253,0.0,0.0658,0.1577,0.521,0.404,0.0,1.319,1.837
4800.0,0.0006,0.0198,0.0,0.0642,0.1491,0.521,0.404,0.0,1.319,1.837
5100.0,0.0004,0.0156,0.0,0.0624,0.1432,0.521,0.404,0.0,1.319,1.837
