t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0
300.1,0.0001,0.0006,0.0003,0.0003,0.0807,0.0,0.0,0.0,0.0,0.214
600.0,0.0038,0.0023,0.0003,0.0043,0.1095,0.0,0.0,0.0,0.0,0.862
900.0,0.0054,0.0034,0.0004,0.0121,0.1414,0.0,0.0,0.0,0.007,2.076
1200.0,0.0087,0.0064,0.0005,0.0486,0.155,0.0,0.0,0.0,1.34,2.076
1500.0,0.0131,0.0091,0.0048,0.0751,0.1994,0.495,0.0,0.0,1.34,2.076
1800.0,0.0257,0.0315,0.0086,0.0882,0.2682,0.604,0.437,0.0,1.34,2.076
2100.0,0.0294,0.0528,0.0086,0.0963,0.31,0.633,0.542,0.0,1.34,2.076
2400.0,0.0223,0.102,0.0054,0.0962,0.3053,0.634,0.542,0.0,1.34,2.076
2700.0,0.0258,0.1038,0.0038,0.0936,0.2922,0.634,0.542,0.0,1.34,2.076
3000.0,0.0198,0.0978,0.0026,0.0902,0.2741,0.634,0.542,0.0,1.34,2.076
3300.0,0.015,0.09,0.0023,0.0874,0.2784,0.634,0.542,0.0,1.34,2.076
3600.0,0.0113,0.0842,0.002,0.0866,0.2673,0.634,0.542,0.0,1.34,2.076
3900.0,0.0067,0.0767,0.0003,0.0836,0.2482,0.634,0.542,0.0,1.34,2.076
4200.0,0.004,0.0682,0.0,0.0803,0.2265,0.634,0.542,0.0,1.34,2.076
4500.0,0.0023,0.0592,0.0,0.0769,0.2072,0.634,0.542,0.0,1.34,2.076
4800.0,0.0013,0.05,0.0,0.0742,0.1924,0.634,0.542,0.0,1.34,2.076
5100.0,0.0008,0.0412,0.0,0.0717,0.1805,0.634,0.542,0.0,1.34,2.076
